City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
252,Padang,ID,2022-05-26 13:07:08,-0.9492,100.3543,80.65,83,100,4.29
253,Provins,FR,2022-05-26 13:07:08,48.5833,3.1667,69.12,55,100,7.81
254,Namatanai,PG,2022-05-26 13:07:09,-3.6667,152.4333,79.5,77,100,2.28
255,Gat,IL,2022-05-26 13:07:09,31.61,34.7642,90.39,33,0,16.8
256,Gizo,SB,2022-05-26 13:07:09,-8.103,156.8419,81.41,77,77,4.68
257,Shimoda,JP,2022-05-26 13:07:10,34.6667,138.95,67.12,91,100,8.5
258,Ulladulla,AU,2022-05-26 13:07:10,-35.35,150.4667,57.36,80,49,5.53
259,Teya,RU,2022-05-26 13:07:10,60.3778,92.6267,58.03,50,99,5.06
260,Ares,BR,2022-05-26 13:07:11,-6.1944,-35.1603,82.44,72,35,15.57
261,Bani,DO,2022-05-26 13:04:11,18.2833,-70.3333,81.86,61,9,9.24
262,Moree,AU,2022-05-26 13:07:11,-29.4667,149.85,59.47,68,7,5.99
263,Alaca,TR,2022-05-26 13:07:12,40.1683,34.8425,74.82,37,0,6.69
264,Bandarbeyla,SO,2022-05-26 13:07:12,9.4942,50.8122,85.26,68,71,25.55
265,Husavik,IS,2022-05-26 13:07:12,66.0449,-17.3389,40.66,95,100,14.76
266,Ancud,CL,2022-05-26 13:03:46,-41.8697,-73.8203,39.06,84,6,4.56
267,Emilio Carranza,MX,2022-05-26 13:07:13,19.9711,-96.6114,79.21,80,100,5.79
268,Touros,BR,2022-05-26 13:08:13,-5.1989,-35.4608,83.98,68,69,15.41
269,Dahegam,IN,2022-05-26 13:07:08,23.1667,72.8167,105.57,21,0,15.9
270,Talaya,RU,2022-05-26 13:08:13,61.3833,152.75,37.15,84,100,2.15
271,Talnakh,RU,2022-05-26 13:08:14,69.4865,88.3972,40.21,96,41,1.48
272,Maniitsoq,GL,2022-05-26 13:08:14,65.4167,-52.9,32.95,99,100,13.69
273,Okhotsk,RU,2022-05-26 13:08:15,59.3833,143.3,35.44,98,100,5.19
274,Kijang,KR,2022-05-26 13:08:15,35.2442,129.2139,65.59,66,100,7.36
275,Sibolga,ID,2022-05-26 13:08:15,1.7427,98.7792,79.36,87,100,3.38
276,Salym,RU,2022-05-26 13:08:16,60.0625,71.4789,77.81,49,21,9.24
277,Omboue,GA,2022-05-26 13:08:16,-1.5746,9.2618,78.94,73,100,6.62
278,Lavrentiya,RU,2022-05-26 13:08:17,65.5833,-171.0,30.43,97,97,6.08
279,Nchelenge,ZM,2022-05-26 13:08:17,-9.3451,28.734,78.19,44,100,7.43
280,Anahuac,MX,2022-05-26 13:08:17,27.2333,-100.15,74.95,61,0,6.6
281,Daru,PG,2022-05-26 13:08:18,-9.0763,143.2092,79.21,74,68,10.16
282,Bilma,NE,2022-05-26 13:08:18,18.6853,12.9164,105.12,6,5,4.07
283,Masuguru,TZ,2022-05-26 13:08:18,-11.3667,38.4167,87.17,43,70,2.35
284,Lorengau,PG,2022-05-26 13:08:19,-2.0226,147.2712,80.24,79,100,4.32
285,Guasdualito,VE,2022-05-26 13:08:19,7.2424,-70.7324,76.1,82,100,3.04
286,Hokitika,NZ,2022-05-26 13:08:19,-42.7167,170.9667,47.97,67,65,6.11
287,Vanimo,PG,2022-05-26 13:08:20,-2.6741,141.3028,78.22,83,43,2.8
288,Wanning,CN,2022-05-26 13:08:20,18.8003,110.3967,80.76,88,98,7.63
289,Pacific Grove,US,2022-05-26 13:08:20,36.6177,-121.9166,53.71,94,100,8.01
290,Homer,US,2022-05-26 13:08:21,59.6425,-151.5483,49.05,92,0,5.99
291,Bantry,IE,2022-05-26 13:08:21,51.6833,-9.45,57.78,96,100,12.82
292,Qasigiannguit,GL,2022-05-26 13:08:21,68.8193,-51.1922,44.85,83,16,2.28
293,La Crosse,US,2022-05-26 13:04:11,43.8014,-91.2396,55.42,96,100,8.05
