City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
279,Richards Bay,ZA,-28.783,32.0377,67.01,86,86,5.03,light rain
280,Lasa,IT,46.6166,10.7002,58.69,95,68,3.15,broken clouds
281,Alice Springs,AU,-23.7,133.8833,45.95,87,8,0.0,clear sky
282,Mnogovershinnyy,RU,53.9353,139.9242,47.44,58,87,5.7,overcast clouds
283,Shubarshi,KZ,48.5872,57.1869,55.49,63,91,1.21,overcast clouds
284,Berlevag,NO,70.8578,29.0864,44.4,87,100,11.5,overcast clouds
285,Beloha,MG,-25.1667,45.05,66.24,94,7,4.36,clear sky
286,Kangaatsiaq,GL,68.3065,-53.4641,28.8,94,100,11.77,overcast clouds
287,Sorong,ID,-0.8833,131.25,78.19,87,96,4.52,overcast clouds
288,Tuatapere,NZ,-46.1333,167.6833,42.98,78,0,3.76,clear sky
289,Caconda,AO,-13.7333,15.0667,54.12,45,0,2.86,clear sky
290,Bystryy Istok,RU,52.371,84.3873,59.95,66,96,3.13,overcast clouds
291,Shieli,KZ,44.1667,66.75,67.5,45,90,15.68,overcast clouds
292,Khandbari,NP,27.3747,87.2039,67.33,76,43,2.73,scattered clouds
293,The Valley,AI,18.217,-63.0578,82.26,74,20,12.66,few clouds
294,Goundam,ML,16.4145,-3.6708,94.41,29,35,8.77,scattered clouds
295,Shenjiamen,CN,29.9576,122.298,64.81,86,75,5.23,broken clouds
296,Rio Gallegos,AR,-51.6226,-69.2181,41.05,56,75,20.71,broken clouds
297,Aklavik,CA,68.2191,-135.0107,50.22,67,100,3.27,overcast clouds
298,Canico,PT,32.6333,-16.85,67.71,81,40,13.8,scattered clouds
299,San Cristobal,VE,7.7669,-72.225,77.18,76,100,4.63,overcast clouds
300,Volchikha,RU,52.0333,80.3833,63.39,73,0,6.64,clear sky
301,Benghazi,LY,32.1167,20.0667,78.96,42,3,11.7,clear sky
302,La Asuncion,VE,11.0333,-63.8628,78.69,81,100,14.83,overcast clouds
303,Talnakh,RU,69.4865,88.3972,32.47,82,62,5.68,broken clouds
304,Birin,NP,26.8865,88.0718,58.78,80,2,4.41,clear sky
305,Grand-Santi,GF,4.25,-54.3833,74.44,99,67,2.73,heavy intensity rain
306,Conde,BR,-7.2597,-34.9075,74.66,94,75,9.22,broken clouds
307,Kieta,PG,-6.2167,155.6333,81.39,81,98,4.99,light rain
308,Tongren,CN,27.7172,109.1853,65.53,98,100,2.59,overcast clouds
309,Barcelos,PT,41.5388,-8.6151,74.84,68,12,5.44,few clouds
310,Never,FR,46.9896,3.159,58.75,83,76,2.66,broken clouds
